-1.00	5.764060e-01
-0.95	5.350560e-01
-0.90	4.945291e-01
-0.85	4.548949e-01
-0.80	4.162267e-01
-0.75	3.786023e-01
-0.70	3.421031e-01
-0.65	3.068141e-01
-0.60	2.728236e-01
-0.55	2.402229e-01
-0.50	2.091054e-01
-0.45	1.795661e-01
-0.40	1.517009e-01
-0.35	1.256055e-01
-0.30	1.013744e-01
-0.25	7.910008e-02
-0.20	5.887132e-02
-0.15	4.077237e-02
-0.10	2.488151e-02
-0.05	1.126982e-02
0.00	0.000000e+00
0.05	-8.874729e-03
0.10	-1.531162e-02
0.15	-1.927919e-02
0.20	-2.075783e-02
0.25	-1.974019e-02
0.30	-1.623133e-02
0.35	-1.024862e-02
0.40	-1.821378e-03
0.45	9.009667e-03
0.50	2.219317e-02
0.55	3.766809e-02
0.60	5.536482e-02
0.65	7.520632e-02
0.70	9.710936e-02
0.75	1.209858e-01
0.80	1.467439e-01
0.85	1.742894e-01
0.90	2.035267e-01
0.95	2.343598e-01
1.00	2.666937e-01
